vote_id,yes,no,abstain
2f80672a-5187-4f61-adcb-b32a5232ed27,137,2,1
af33229b-066f-4f62-972a-c5265f70a72e,138,2,0
d3176afe-817b-4e53-90b3-1b7b8a5804af,139,2,0
655ca566-7ddb-49bf-bb7b-75a40f5a06f8,143,0,0
703f56a4-69a1-48ee-995e-678c8dfd6c58,144,0,0
f9e78a56-67d6-49d2-ba7f-666d21a71cd4,142,1,0
e511e348-ae74-4177-a60c-0eefdfc21b69,1,143,0
fec4815b-57b7-4e5a-9a0e-5fa7964945db,128,1,0
bdbed9de-d5c0-414c-8100-fe302535504c,128,0,0
602c6c48-4aab-464d-abf2-257f9c5d2fff,108,6,2
256c81be-029c-42ac-99ab-e107fa6694e5,112,2,1
26d635cc-5223-43d5-bffc-65c568e8c2d4,134,2,1
ba17b75e-7bc0-426c-937d-c5c410d243bf,0,139,0
2b343b86-4920-4db7-a1f2-4f0db100ab22,0,137,0
f334d926-4395-4174-a6be-2d17376b65a6,137,0,0
f20bf90f-f6d3-4d63-820f-2833da4fa43f,132,0,0
b455431f-749e-4bb4-ac86-e9a4d59011df,69,70,2
2d43fedb-ebdc-463b-9732-b76e59b7c0b5,59,82,1
508f39a0-3e59-455d-8bec-022178bd0ebf,94,48,0
eadd601b-3e8c-455c-927a-1d828e19b1d0,0,135,0
7c342634-4483-4fd8-bc75-964526c7633a,116,0,0
0d9905d4-a222-4620-8d22-c347f4edf4c2,0,116,0
6c9cf3f8-ca38-4552-a0fb-35210ea299ba,0,132,0
eae0a22d-49c1-4903-a13c-c45c515f22f5,134,0,0
1e3fec1a-0bb4-4489-bb9c-a974d823b711,0,134,0
48427f11-3688-4565-97ee-8b899fa92878,137,0,0
8c4e43cd-1cae-4683-a27e-cfd648aa8370,139,0,0
d4f6b524-5801-432e-b94f-53e2dd564f4f,139,0,0
d0871040-3feb-444b-9ca3-57bc857337cd,0,136,0
0dbf64d9-e0d3-4324-adb2-f069ab54c9af,0,134,0
b10bd051-291c-45ec-bdb0-f61363f422be,135,0,0
01b20463-3539-4413-8a0d-98cdbbcf333b,137,0,0
ad705005-2267-4604-bd8e-741c8840f38b,0,134,0
3f26aab8-a98d-4238-a1a7-6c55b5c4ac1b,135,0,0
15e79347-e7ae-4066-97a1-e8265984c060,133,0,0
9d0df3a0-72d1-4629-ae15-6b9fa052b38e,133,0,0
dc6c79a3-5635-4657-9b0c-815a89ed327f,138,0,1
e99cb06c-9f00-4572-8cbb-0ec405abb4ee,139,0,0
1177b111-2648-4de0-9863-615bc4be8d3a,141,0,0
40318e30-1f69-4995-b600-812064cf36f5,0,141,0
a1611ffd-a656-4517-bcd4-c17653430699,139,0,0
d16c8490-219b-4b7d-a91b-b5995383f322,0,135,0
02d27c4f-2775-4109-8ef2-80d3d0cfeac2,136,0,0
fd2964e3-d9d2-4039-8def-13fe1a25c157,0,136,0
477635ef-9bec-4ae6-b527-76519ed16347,0,133,0
b6e7ee29-9eef-4e35-aed7-cf4bfc7e8d8c,0,122,0
e9ff43f0-0429-4598-ade8-10c5ea34e9c6,126,0,0
f09355b1-ee45-45d9-b772-97e19548fe1d,118,10,3
f0ed5ffe-5dd9-45a4-abfa-a8b77d8fc0ae,134,0,0
39f90bc7-007b-4545-8f63-2a84eb5236ba,134,0,0
f0c5ff65-bff5-4860-b70d-721972e9cde5,122,2,3
52335771-4dce-48f3-8d9a-2fdf8a9db176,1,130,0
e7fb1ac1-a648-4d15-bca5-a665c7f37343,138,0,0
3d8b4af5-4778-405d-bed3-8cdc943f9276,1,124,0
56ef7897-9cc0-438e-9301-d66a88f00a89,127,0,0
29174344-3943-4dcc-9b69-09b51b2c9fb9,0,132,0
fc1734d2-866e-456e-84df-0f729afffb22,128,0,0
870d6780-e325-4bf5-8970-f51812711c95,127,0,0
7f0ae944-a1d6-4c9a-b5f7-b7d94d5276ae,0,123,0
95953ea8-9b9e-436f-9fb7-608622499cba,0,123,0
2f43d13a-ab7a-49ba-b9f0-225285ba2324,133,0,0
d46b0a52-fa5d-47e9-b032-e8ad3a60c334,137,0,0
5f37b5c4-3abc-45b7-8d5b-e03f6f91c57a,130,0,0
2cb527ad-8f75-4d1d-ae7e-5cd4775bb506,137,0,0
fc7a08f1-9861-418b-9b86-eda33acf6533,130,8,0
d0032024-5523-4a18-9e68-622da93ccd6b,138,0,0
7daed0ed-1206-41ea-a688-b875820c012c,136,0,0
68bd6325-f33a-417a-b38b-559d3df0c742,1,106,0
ef5a3687-f4f5-414f-b15e-14a4c0125751,0,139,0
37ca9003-a608-455a-819c-817d4718dc98,0,139,0
09cb7478-cc7e-43a8-b658-fbd69f330c57,139,0,0
88f9d849-9978-4f93-a6a0-e2ddd10b44a8,128,0,0
0ea0b0a9-d7f1-47f3-bbbe-50cf32ecc7d8,131,3,0
20241590-9c89-40e6-9c79-32b2109eac9b,133,3,0
30ac35b0-c6f7-4427-93af-7105b5c9e0da,132,2,0
72c93488-1c73-4232-858f-5ae52220670c,125,0,0
f7482dcc-ecd8-4e3f-8138-ed77903efa45,140,0,0
fded42cc-62ce-44ec-9730-72582d996df8,144,0,0
50b408f0-2934-4ad4-8acc-713ae044a841,145,0,0
b238dcaf-7e6d-4432-b702-3340419cd332,142,3,1
10da77f0-03cf-4e5e-afc0-4d6232eb43b9,0,144,0
957b9994-d508-48ed-bdc0-6fd270f0d208,135,5,2
9b231d90-42dc-4ef3-bed1-afa678b61562,144,0,0
aa61c7d7-343b-4d2b-aed3-60f87ffbf02d,0,126,0
08266768-18f0-4d37-9169-b14667ebc719,0,126,0
19086aa8-7ae0-4512-bfbb-836b97acf580,126,0,0
73f6add9-2afa-4717-b5f9-f0e9fd7890ad,138,0,0
557c0b57-e3ee-45c4-b1e1-095318f5433d,139,0,0
58a2682d-2be2-4764-9b45-434f5f25e800,0,132,0
566fa315-5ea4-4181-a728-47fae9b70727,137,6,0
741d16ac-9b60-4421-b377-0d5daae55982,0,142,0
7a6825a3-1de8-43ff-bec3-b4dcb761398e,143,0,0
a6bb2394-73ac-4e36-ad09-5dec4b920703,141,0,0
933ab129-3bc0-4f98-a01b-2f224b8d6fcb,140,0,0
5b8e9b44-0b92-4e72-9863-0682665914bb,1,140,0
0f838e1d-314a-4ab1-81fc-143553552de7,126,11,4
e3a974a1-5d59-4993-bef6-b944d50315d1,0,140,0
bda8d482-8708-4438-891d-49fee1606837,0,136,0
78f446a2-a0df-44f4-86ce-efea17eedc5d,0,129,0
