vote_id,yes,no,abstain
92f07bb1-244d-414b-8423-f5d4fb7f87c7,0,71,2
8fd2cbbe-cbf0-44bd-973f-67e6b8e0ef9c,0,67,0
0eaa5d2a-a6e6-4b5c-8d9b-68a5e2262a00,0,71,0
71000a94-b5f4-4e08-a977-73c58a48e53a,0,70,0
9b50442a-9e53-4e7c-8d0d-d238139b3534,0,70,0
daf7e4c7-bfe7-42c0-b3a2-0a676efbf21c,1,72,2
b0ec1b9d-f3c1-487c-8203-1654b084a637,71,4,0
5489be2e-dc7d-457a-97ee-bed627260427,0,82,0
14a2656e-ea85-46a5-8a1f-3034a31ee364,0,84,0
62824036-9936-41fb-99c0-896d9114bb5c,0,84,0
0f2164ee-5bef-41e9-b542-08f2333b25f5,0,80,0
4ba16bae-638c-4a80-b912-2e9a2559f8e2,0,83,0
dd383ec1-ae1b-4d0b-9127-5c469ea52571,0,71,0
735b832f-b802-4480-a4f2-1d1a54c14822,72,0,0
c5e4b802-5329-4796-987d-ba009e2a5534,0,74,0
7b8dba01-6513-4ab1-b064-60da486bef7b,0,0,67
abc00782-b5e6-4c5c-81e0-ae534b23364b,0,70,0
4674aae4-7844-4d1c-ada3-4eb5a457840a,0,76,0
526d5113-dd93-4013-ba88-778dad709b91,0,79,0
45baf6b6-7c06-4c3d-9272-596d12ca8e40,0,67,0
fe7bd3a8-2d35-41a2-88c5-dad7f5b6b2b3,67,0,0
576c7567-8f07-4232-8b9b-014ea683a0d7,1,65,0
4962a834-8354-4411-8af0-7b05ea0dd640,0,66,0
d0f9e889-f85d-4957-b513-d071a0bae8b8,1,77,0
20ed7eed-84db-4310-be10-79e0394dc1a4,76,1,0
017494f8-acbe-4603-bc79-ee8745b98006,0,82,0
f519ada3-37d3-432b-9a0a-82369c9304ae,87,0,0
52c694aa-0383-4720-a383-ac900851eb32,0,86,0
3f089d7d-7310-4065-8be6-52b989e2762f,0,84,0
7430eedf-5fc9-4f4d-bb3d-bf3b6c84ea49,0,84,0
e0642be5-c9c6-48cc-9019-d681ee81a9da,0,82,0
